name,eventsAmount,eventsTotalScore,topsAmount,score,attendanceBoost,adjustedScore,confidenceRating,highScore,lastEventDate
Basht,2,530.0159509312642,0,978.9619344681279,0,783.1695475745023,219.6968299649304,1023.7804215915598,1684389540
Deme,1,277.7887401723354,0,1167.3577973675028,0,933.8862378940023,215.71160629090286,1167.3577973675028,1682575140
Mewrolf,1,277.7887401723354,0,1269.6633964123548,0,1015.7307171298839,154.75013485441428,1332.4563179704624,1682575140
Juanpi,3,1257.3834439063378,2,1680.9312882563136,0.05405812295349807,1435.6130208619927,58.48185622727644,1747.2032520147093,1684735140
Mikado Lightwing,1,197.66587211667195,0,1288.6790127731224,0,1030.943210218498,145.57177989569976,1396.036797417775,1682834340
Anonimus,1,336.70319935426215,1,1602.9340123850495,0,1282.3472099080398,97.23607121806462,1602.9340123850495,1684043940
Zarso,1,336.70319935426215,0,1534.647880680058,0,1227.7183045440465,103.87504406206578,1721.482592520281,1684043940
Balrog,1,336.70319935426215,0,1495.402770133253,0,1196.3222161066024,123.56395967723603,1747.2032520147093,1684043940
AFKalex,1,336.70319935426215,0,1472.8152613265252,0,1178.2522090612201,119.23173740648919,1622.7113663358755,1684043940
Timmer,1,336.70319935426215,0,1418.9951132099964,0,1135.196090567997,119.45733730556931,1686.0923007721544,1684043940
Cisar,3,1311.9447825485945,2,1572.4706570800945,0.06291276821157452,1356.905007632458,59.71535878164507,1589.7196001741763,1684735140
SC Bon Clay,1,265.2506218427667,0,1198.821311058301,0,959.0570488466409,155.6392877205048,1222.2469093595937,1684123200
Core,1,252.2272107589288,0,1291.8289706566784,0,1033.4631765253428,193.4819146683023,1312.62791669616,1684389540
Javi,1,794.4669499468991,1,2032.649170619534,0,1626.1193364956273,75.36914317455853,2037.7146900884297,1684735140
Fruits,1,794.4669499468991,1,1844.823795811954,0,1475.8590366495632,65.99280597380974,1862.6173961597167,1684735140
Yariz,1,794.4669499468991,1,1842.1235849160605,0,1473.6988679328485,72.47558394692406,1954.3511835608701,1684735140
Sr.JorjoroY,1,794.4669499468991,1,1868.5624779892482,0,1494.8499823913987,78.68874752631969,1871.6478927270807,1684735140
Yellow The RAWR!,1,794.4669499468991,1,1621.3520324683257,0,1297.0816259746607,77.44004054810712,1646.7894430913561,1684735140
Mithos,1,794.4669499468991,0,1668.716221698125,0,1334.9729773585002,76.56750577181305,1668.716221698125,1684735140
Tuatha,1,794.4669499468991,0,1699.1998363594967,0,1359.3598690875974,77.08266724046915,1808.1982497788492,1684735140
Mancha,1,794.4669499468991,0,1880.8326457924927,0,1504.6661166339943,103.73481932042208,1880.8326457924927,1684735140
Osky,1,794.4669499468991,0,1730.0013647003238,0,1384.0010917602592,86.67352032804078,1730.0013647003238,1684735140
ohms,1,794.4669499468991,0,1606.988424071426,0,1285.5907392571407,84.9679181146083,1795.6115542580842,1684735140
Trapnest,1,794.4669499468991,0,1728.2163199952536,0,1382.573055996203,106.85412394282463,1728.2163199952536,1684735140
Klein,1,794.4669499468991,0,1754.7277658006126,0,1403.7822126404901,87.5057910551477,1798.4491716234947,1684735140
Gummy,1,794.4669499468991,0,1606.539525118434,0,1285.2316200947473,78.02729510604108,1834.799317371375,1684735140
Vortex,1,794.4669499468991,0,1961.7404064130856,0,1569.3923251304686,114.53908071847759,2161.2407728693306,1684735140
Jorch,1,794.4669499468991,0,1615.511580218475,0,1292.4092641747802,93.31063218118449,1792.6538622175183,1684735140
OBA,1,794.4669499468991,0,1667.2677430187186,0,1333.814194414975,101.33491894504738,1679.5272607744528,1684735140
Jv,1,794.4669499468991,0,1499.248074797934,0,1199.3984598383472,96.36126890403065,1751.5925496565799,1684735140
Yato,1,794.4669499468991,0,1577.7940409950143,0,1262.2352327960116,94.57757181159688,1653.2705520965699,1684735140
Xan Darei,1,794.4669499468991,0,1476.8752241004581,0,1181.5001792803666,101.03605308647094,1649.58230590091,1684735140
Diego4ng,1,794.4669499468991,0,1607.4329167653884,0,1285.9463334123109,100.36870569870463,1782.4827428492442,1684735140
Jasshy,1,794.4669499468991,0,1603.118392901396,0,1282.4947143211168,76.10827102355873,1650.581840255812,1684735140
Marshmallow,1,794.4669499468991,0,1365.1464044990585,0,1092.1171235992467,78.73546791083999,1460.9092263723687,1684735140
ED,1,794.4669499468991,0,1468.8248804319833,0,1175.0599043455866,92.64722021055935,1469.2295818557018,1684735140
Reon,1,794.4669499468991,0,1537.8723591846326,0,1230.2978873477061,91.47751595356625,1642.1259666517813,1684735140
Audible,1,794.4669499468991,0,1440.9387846410527,0,1152.7510277128422,138.94395305985785,1500.0,1684735140
Spear,1,794.4669499468991,0,1216.0038463962362,0,972.803077116989,136.9135643392398,1273.6201952222918,1684735140
LinkNano,1,794.4669499468991,0,1286.5321174951357,0,1029.2256939961087,110.56649876360801,1500.0,1684735140
Kavant,1,794.4669499468991,0,1310.2523463819518,0,1048.2018771055616,129.43749307928354,1310.2523463819518,1684735140
Heistar,1,794.4669499468991,0,1311.8594484776668,0,1049.4875587821334,120.20124136174839,1411.8038453397173,1684735140
Jara,0,0.0,0,1500,0,1200.0,350,0,1684735140
Hatsu,1,794.4669499468991,0,1395.913549547928,0,1116.7308396383423,83.31094932532936,1407.7719733769986,1684735140
Paps,1,794.4669499468991,0,1351.3023877487442,0,1081.0419101989953,104.91761624897904,1373.2528350962527,1684735140
Nalga,0,0.0,0,1500,0,1200.0,350,0,1684735140
Manzano,0,0.0,0,1500,0,1200.0,350,0,1684735140
Betta,0,0.0,0,1500,0,1200.0,350,0,1684735140
